SYMBOL,k,agree_frac
A2ML1,5,1
A4GALT,4,1
AASDHPPT,5,1
ABCA1,5,1
ABCA7,5,1
ABCC12,5,1
ABCC6,3,1
ABCD1,5,1
ABCD2,5,1
ABHD15,5,1
ABHD4,5,1
ABI3,5,1
ABRACL,5,1
ACADSB,5,1
ACOX2,5,1
ACP1,5,1
ACSL4,5,1
ACSL6,5,1
ACSS1,5,1
ACTA2,5,1
ACTR10,5,1
ACTR2,5,1
ACTR3B,5,1
ACTR6,5,1
ADAM22,5,1
ADAM23,5,1
ADAM33,5,1
ADAM8,5,1
ADAMTS10,5,1
ADAMTS2,5,1
ADAMTS7,4,1
ADAMTSL5,3,1
ADAT2,5,1
ADAT3,3,1
ADCY10,3,1
ADCY7,5,1
ADGRB3,5,1
ADORA2A,3,1
ADORA3,5,1
ADRA2C,4,1
ADRB2,4,1
AEBP1,5,1
AFG3L2,5,1
AGAP1-IT1,3,1
AGFG2,5,1
AGL,5,1
AGTRAP,4,1
AHNAK,5,1
AIFM3,5,1
AIG1,5,1
AK5,5,1
AKAP11,5,1
AKAP5,5,1
AKT1S1,5,1
ALOX12,3,1
ALOX15B,5,1
ALX3,3,1
AMACR,5,1
AMOT,5,1
AMZ1,5,1
ANKRD31,3,1
ANKRD42,5,1
ANKRD9,5,1
ANO3,5,1
ANO5,5,1
ANXA9,3,1
AP1S3,4,1
AP3M2,5,1
APBA3,5,1
APLN,5,1
APOBEC3F,4,1
APOBR,5,1
ARAP1,5,1
ARHGAP20,5,1
ARHGAP27,5,1
ARHGAP31,5,1
ARHGAP9,5,1
ARHGEF10L,5,1
ARHGEF16,3,1
ARHGEF19,3,1
ARHGEF3,5,1
ARHGEF40,5,1
ARL1,5,1
ARL6,5,1
ARL6IP1,5,1
ARL6IP6,5,1
ARL8B,5,1
ARMCX5,5,1
ARPC3,5,1
ARPC5L,5,1
ARRDC2,5,1
ASAH2B,4,1
ASCL1,4,1
ASIC4,4,1
ASNS,5,1
ASPRV1,4,1
ATAD1,5,1
ATAD3C,5,1
ATG16L2,5,1
ATL1,5,1
ATP1A1,5,1
ATP1B1,5,1
ATP2B1,5,1
ATP2B1-AS1,4,1
ATP5F1A,3,1
ATP5F1B,3,1
ATP5F1C,3,1
ATP5IF1,3,1
ATP5MC1,3,1
ATP5MC3,3,1
ATP5MG,3,1
ATP5MJ,3,1
ATP5MK,3,1
ATP5PB,3,1
ATP5PD,3,1
ATP5PF,3,1
ATP6AP2,5,1
ATP6V1A,5,1
ATP6V1B2,5,1
ATP6V1C1,5,1
