SYMBOL,max_loo_p,min_loo_p
A1BG,0.8223869701424806,0.016508939900133784
A1BG-AS1,0.850387944064988,0.007866312963698531
A2M,0.16483427337729165,0.016148392345153865
A2M-AS1,0.6952125400912892,0.19805086444676107
A2ML1,0.0025416847848824674,5.896850761722812e-8
A4GALT,1.3659492749655341e-5,3.2865721775233826e-7
AAAS,0.17095476570229895,7.03909677906805e-4
AACS,0.7643430320366725,0.11620474894995493
AADAT,0.2260980424271648,9.449687004717831e-6
AAGAB,0.015628364580059895,2.261542145058606e-6
AAK1,0.02585195823224563,1.3741782761377653e-6
AAMDC,0.5304890712316584,0.21460239628648967
AAMP,0.9028821066240909,1.4741213768209343e-4
AAR2,0.25704451065290007,0.07709071751658265
AARS2,0.9742428158833715,0.013783381182672763
AARSD1,0.3949087792077601,0.018039493944249165
AASDH,0.8264802480342845,0.1679062533194847
AASDHPPT,6.773246540522657e-4,1.138107260706314e-7
AASS,0.5639855205713606,0.09155776869958365
AATF,0.010735627257749823,1.1456171470802885e-6
AATK,0.5352085736136414,0.16442221021108433
ABALON,0.46273324170633007,0.015292880375592306
ABAT,0.8829241895935767,0.5034646466065917
ABCA1,1.190786267922436e-4,1.2289029720327727e-8
ABCA10,0.13895708352091576,0.006673185232930733
ABCA11P,0.4957927702954028,1.478099999311757e-10
ABCA17P,0.906040472809482,0.01444405909953895
ABCA2,0.5074198550387969,0.11981992286809415
ABCA3,0.7370928708411745,0.2796171710166398
ABCA5,0.19893846395822465,0.029800855670715037
ABCA6,0.9563839359287095,0.19416023384627798
ABCA7,0.01954960498599486,7.6473891341268e-6
ABCA8,0.9640908218096177,0.11080185641900768
ABCA9,0.9436606301906991,0.03704262608239279
ABCB1,0.9152231214638031,0.3714551441754506
ABCB10,0.9470723070558813,0.30637168109514706
ABCB6,0.9591367072069555,0.07753612378919694
ABCB7,0.989561475188387,0.0018768971451909127
ABCB8,0.5912633115444759,0.10869106572348823
ABCB9,0.9293785096841006,0.32763517715862495
ABCC1,0.38705242211843244,0.0025692250250471246
ABCC10,0.3570246807998789,7.075407880017134e-5
ABCC11,0.6048693193012122,0.02175530059207694
ABCC12,0.0021919976184674745,1.2402187131468474e-12
ABCC2,0.6821030510496342,3.1182282706389373e-4
ABCC3,0.19610272010549407,0.0033858453702343807
ABCC4,0.7210395063229482,0.1454661677180131
ABCC5,0.894663038460385,0.11497827445846692
ABCC6,1.1198022928078255e-4,6.913131124751258e-9
ABCC8,0.9966621849096505,0.5639871717338497
ABCC9,0.9524660978969088,0.013262374979746165
ABCD1,0.018418744732843207,8.862703962148955e-5
ABCD2,0.002058802198823798,1.6315046073296081e-12
ABCD3,0.728973595879342,0.04849569803342401
ABCD4,0.08222531499508494,1.2951020491050044e-7
ABCE1,0.14083161851437173,0.0053614874211909466
ABCF1,0.9900607159565403,0.20312630433463874
ABCF2,0.9883873611904598,0.06022091362595079
ABCF2-H2BK1,0.7993224653012652,0.30700814122382636
ABCF3,0.8194794821773932,0.004215502332719646
ABCG1,0.3372729876887328,0.006112544581142759
ABCG2,0.9309133646004101,0.2581134021861809
ABCG4,0.990614170676635,7.525488201783841e-5
ABHD1,0.3273267936899963,0.053768881153160836
ABHD10,0.04624564171835911,2.828552890066905e-4
ABHD11,0.7989323037469992,0.41239989849691094
ABHD12,0.8601093573646952,0.14163800300862603
ABHD12B,0.6734309224187285,0.434738118774576
ABHD13,0.478540773695011,0.2815913525973174
ABHD14A,0.9265556941686535,0.007950408910925454
ABHD14A-ACY1,0.5767035578726887,0.02892936451506626
ABHD14B,0.4783670378811778,0.13685097199199905
ABHD15,8.718166563480181e-4,9.462622256168403e-6
ABHD16A,0.9071564655957753,0.187563888681289
ABHD16B,0.19444167717157654,0.0063858640939437545
ABHD17A,0.9208967928453489,0.26281503570065123
ABHD17B,0.7828081938850807,0.16627221287575952
ABHD17C,0.9358573267977457,0.03661328327847118
ABHD18,0.10320113807526117,1.9007966513675476e-4
ABHD2,0.35134214206952685,1.8589340545099268e-4
ABHD3,0.9946692468397328,2.005982111024449e-4
ABHD4,0.19152173952241827,0.007984843251888283
ABHD5,0.7432433490844839,0.00138104484376125
ABHD6,0.8726724272099381,0.10941596936233189
ABHD8,0.4129101519773175,9.122930830550423e-4
ABI1,0.8854181029745165,0.002049705418790718
ABI2,0.004413442808387419,3.280230841870521e-6
ABI3,0.04961948067627961,1.9743651729697872e-5
ABI3BP,0.33550942608196593,0.006588433877479043
ABITRAM,0.4708815627497833,0.013938013882548197
ABL1,0.06700317242693045,1.9663601378273365e-13
ABL2,0.7586511589122653,0.26890685501014816
ABLIM1,0.43441079502175167,0.024284933874883154
ABLIM2,0.9520186753998682,0.35220301491705025
ABLIM3,0.7914951039199327,0.19633972171839792
ABO,0.4055687486667807,2.9513139437361164e-4
ABR,0.9680376754644093,0.13470117445663493
ABRACL,7.664881093958199e-7,1.791773725766377e-12
ABRAXAS1,0.996025108688258,0.0015273230479587612
ABRAXAS2,0.23599619883270076,2.9525434913474537e-5
ABT1,0.5500401699937103,9.124304372883147e-4
ABTB1,0.8691268157005309,0.22851137312492517
ABTB2,0.022469127485814977,5.278096893457088e-12
ABTB3,0.8789346436621011,0.12061294542337345
ACAA1,0.7063994978896981,0.38503984471928776
ACAA2,0.9217343413914496,0.1335542172079224
ACACA,0.13061402477405112,9.228465461347507e-7
ACACB,0.04017853538509939,3.182111215536843e-4
ACAD10,0.17130395114640165,0.011148425598301927
ACAD11,0.9259102377243186,0.058631267258535034
ACAD8,0.7361296822179567,0.023596706532187404
ACAD9,0.6315675097479395,3.962093890233936e-6
ACADL,0.6441986372317922,0.005107790084202753
ACADM,0.031535128406848335,3.593897156903395e-5
ACADS,0.6948480429414742,0.37308479698354724
ACADSB,3.6762965888798425e-6,7.180580571443005e-11
ACADVL,0.0128187561869461,1.6592737666413832e-6
ACAN,0.1486138456537841,4.3659327684047224e-4
ACAP1,0.4330348485778139,2.8782390832868233e-4
ACAP2,0.7502247300748844,0.18357607380166246
ACAP3,0.08488714913690328,1.610565952904408e-6
ACAT1,0.004936816397750879,2.634919330306738e-10
ACAT2,0.11830901467494663,9.456959520321016e-4
ACBD3,0.7549375802201463,0.05158459355214325
ACBD4,0.7372457617393424,0.0950971397254262
ACBD5,0.8682578107717366,0.0013134343339627225
ACBD6,0.28397475776302483,0.0017846125312039741
ACBD7,0.9617900432541112,0.2765133861583231
ACCS,0.8633876607045078,0.1111917995057005
ACD,0.49280150682077656,0.016803821973855455
ACE,0.9257674875452915,0.37534216401874554
ACER2,0.9947428743353443,0.1608473221089177
ACER3,0.856286388153763,0.06299387982794177
ACHE,0.7911989139927262,0.418773299477447
ACIN1,8.507067608431678e-4,1.894595939197984e-12
ACKR1,0.9991282927474106,0.11283127504523971
ACKR2,0.9935607269698704,0.053880462018089194
ACKR3,0.32627674984433697,0.12183059288700136
ACLY,0.48393377015969946,0.0418388473265553
ACO1,0.27959100958016064,0.0477957496114099
ACO2,0.9663077519088835,0.05132130342582394
ACOT1,0.8368214468507724,0.35633556688347207
ACOT11,0.36289822048522535,0.05792498759778771
ACOT13,0.7940420614042568,0.12545220369379098
ACOT2,0.9670720677991187,0.3094528012052583
ACOT4,0.6248644280176909,0.09487984766183084
ACOT7,0.9309207674264421,0.032061637971607646
ACOT8,0.9813638116997536,0.0713116326425547
ACOT9,0.17211759964868162,0.02584517564107835
ACOX1,7.103527339279417e-4,6.522804398986829e-7
ACOX2,0.002359851289020691,4.407067748457255e-11
ACOX3,0.94980643588909075,0.32988220777450317
ACP1,8.458038816494126e-8,1.7304071423490682e-13
ACP2,0.8189812500884814,3.7782342298646317e-14
ACP6,0.9089945988773557,0.018772576932922426
ACP7,0.8285179604797244,0.21977999964768805
ACSBG1,0.9292940011260457,0.15897242792569158
ACSF2,0.13626509015546734,3.677428767124373e-4
ACSF3,0.08543646966391454,3.12746063837646e-4
ACSL1,0.6887847966683482,0.06433220799681051
ACSL3,0.05739311771406742,6.61185120052249e-8
ACSL4,0.001689050199093322,2.7430740261972655e-8
ACSL5,0.7386089805041303,0.30636302344010075
ACSL6,0.005853896979738345,2.4514863808262704e-6
ACSM5,0.5894138332238561,0.16661414894714122
ACSS1,0.021325313621963254,2.2748659280270636e-4
