SYMBOL,metap,metafc,idx,k_valid,FDR
RAMP1,8.323731468348064e-77,0.5274131891247443,40.125427679041934,5,2.08245888452288e-73
MT3,4.891275743271826e-81,0.48230307264225286,38.734038464345616,5,2.447431339408446e-77
COX8A,3.1819097761600303e-127,0.2675006671483788,33.83811538967058,5,4.776364764993821e-123
C4ORF48,3.845766582084181e-49,0.6080881668449705,29.44059898315526,4,9.020125338072755e-47
RPL27,1.0397107348373536e-72,0.39118977751041284,28.159047972679478,5,1.418827076422138e-69
FBXO2,1.3645965914569188e-55,0.5106852689017576,28.018745091465338,5,4.996087666917026e-53
ZNF891,8.818884698048066e-57,-0.4508608493613796,-25.272818405831362,4,3.394366107753834e-54
RPP21,7.5578294719429905e-28,0.9237754491869263,25.054270912090697,3,1.893999636115797e-26
TAC1,5.046598757529991e-17,-1.5293662503915832,-24.924083653908937,3,3.7576633903414036e-16
ROMO1,8.67094356413017e-79,0.31781931297567123,24.809590119152258,5,2.6031906768231593e-75
MZT2B,6.4976644861519125e-79,0.30677084500077006,23.98556651678044,5,2.438411040040659e-75
IFI27L2,1.6825427910820476e-51,0.4474720863602288,22.71996287402183,5,4.592118152169567e-49
PCSK1N,1.6672165110201028e-102,0.21394258694338739,21.774650324906652,5,1.2513293523461381e-98
MT2A,7.174476335270993e-31,0.6886485657068621,20.758766838022364,5,2.566725867493242e-29
POLR2L,1.0255071460332248e-61,0.3308318932076725,20.177126617813396,5,5.920726065040284e-59
PUS7L,5.528499813732937e-49,-0.4104181786293535,-19.805711217624282,5,1.238631503043957e-46
NDUFA5,1.1915966508044046e-33,-0.5944580490983189,-19.571859960613136,5,5.96235244174164e-32
CNTFR,3.3775216631208994e-31,0.6392622271664209,19.479216215842545,5,1.280302466795652e-29
VAMP5,1.4871540116646666e-33,0.5914658569546275,19.416430621626738,4,7.350235960868396e-32
ADIRF,1.0892105176240835e-45,0.429254114891119,19.300504765942073,5,1.9011789627971066e-43
TMEM54,1.429828464246926e-28,0.6820136449752497,18.990476294394707,5,3.881221532877144e-27
SNX14,3.23569133535719e-55,-0.34673995195281243,-18.89387139452533,5,1.1295572705824831e-52
PNPLA2,1.0569390771087705e-63,0.2964756605338641,18.670836387363984,5,7.211687493854434e-61
VPS50,3.05973817495426e-42,-0.4347027856712695,-18.04638869522747,5,3.734124369450276e-40
GYPC,4.8017722191185443e-26,0.7107338891928121,17.994785941972207,4,9.766856745418492e-25
ATR,2.6694171094255428e-42,-0.42716311693884346,-17.75870153592752,5,3.28447706799892e-40
KCNH2,1.2715407730987418e-57,0.31191051898458755,17.746357866979032,5,5.453456727138632e-55
HSPB1,1.405097998370616e-18,0.982758255358525,17.544488701085427,5,1.2584681416194102e-17
RNPEPL1,3.885162341420344e-36,0.49119087383327953,17.39335905249425,5,2.5920076403138124e-34
DHX36,3.9060396903038253e-35,-0.4795608925143256,-16.50085748105617,5,2.2379222057691116e-33
CRB2,9.720011214699127e-28,0.6108373561531523,16.500142216181818,5,2.391919481046698e-26
OCIAD1,2.541199105928461e-40,-0.41275205029968404,-16.342901460643805,5,2.5262211774233196e-38
TSNAX,3.1431493002526014e-29,-0.5708101242525613,-16.269592619832384,5,9.179341273558716e-28
RABAC1,2.326400582939107e-75,0.21781404983195418,16.256184701876034,5,4.3651998938123663e-72
NAA38,5.671171247091735e-76,0.2144771215017772,16.138615669700435,5,1.216142165572772e-72
ARHGEF10L,3.304286522526261e-36,0.4538137577373975,16.101730677411613,5,2.2159128503064477e-34
PPEF1,5.108299649032708e-17,-0.9863306272289974,-16.069025991819576,4,3.7979537410416036e-16
TMX3,1.9099721351489609e-34,-0.47579570598129767,-16.043342548601718,5,1.0205214553558542e-32
KRR1,2.1656826868691813e-45,-0.3574806332106521,-15.966659844056329,5,3.736673886504975e-43
BCAT1,8.12862941655727e-28,-0.5870585599848309,-15.903406219457706,5,2.026037767802774e-26
MZT2A,4.172525759553335e-71,0.22386285284343235,15.755378255904521,5,5.2194820147212594e-68
UBLCP1,3.030310829125453e-24,-0.6674339068272045,-15.697052895669358,5,5.065478380401133e-23
MAS1,4.691123516301931e-13,-1.2729112825729434,-15.693370774465455,5,2.2440552932826098e-12
TICAM1,1.4465610702359118e-42,0.3729240666104537,15.603017356145816,4,1.840197307229769e-40
GLMN,1.1832403101902423e-29,-0.5383235797020433,-15.572046915770258,5,3.6241033062007817e-28
TBC1D32,1.1967817064992602e-41,-0.3785715409999791,-15.49189894413645,5,1.3209478085485583e-39
CERS1,8.483306120414966e-27,0.5916545744925255,15.425283699202907,5,1.8809883038928959e-25
LRP1,1.0051013339880231e-44,0.3504014007321859,15.416887297893952,5,1.5087576124494217e-42
MFSD3,1.9981582672685012e-47,0.3239404914678168,15.127816906540042,4,3.9992471666623296e-45
MPG,2.4733304289669455e-30,0.5093644709801642,15.080610179922877,5,8.268855917421563e-29
MED16,7.800850246734126e-53,0.288646652197322,15.040758781958123,5,2.3897665929331826e-50
PLEC,8.88218437732674e-36,0.4288429589886863,15.031580492736158,5,5.6257582146857255e-34
AIP,1.0907816498255951e-54,0.27822557476586374,15.01368140980279,5,3.721300760348184e-52
PLXNB2,8.401127968762696e-31,0.4930426142351706,14.828583214512758,5,2.974276696676812e-29
FZD9,1.2466773734743986e-19,0.7823662110301828,14.790043254896522,4,1.2451014007467863e-18
RPL41,4.366800019736082e-37,0.40672412979911343,14.788422939982508,5,3.197562687622357e-35
SCFD1,4.119302243393108e-42,-0.3561109391945297,-14.737714015743503,5,4.907527458378884e-40
GSTP1,9.209918780376889e-43,0.34949403582338295,14.691241889194021,5,1.1816247077969014e-40
RAC3,2.4964619331492812e-45,0.32832597559507504,14.644216800538805,5,4.258453418011803e-43
DNAJB14,1.2282123170428757e-29,-0.5035984719013433,-14.559397712963307,5,3.747295750229798e-28
UTP15,8.484091317633936e-37,-0.40242999502552756,-14.516211175860109,5,6.122821863894375e-35
ROM1,6.7066398447853715e-25,0.5967945080556196,14.42660906558561,5,1.2013528724352411e-23
TSPAN4,1.2725188276496078e-26,0.5547379355060199,14.365125111666586,5,2.7885810396858776e-25
SELPLG,1.9376705373470254e-22,0.6603921714210346,14.33891035066603,4,2.6587177729539485e-21
C19ORF53,9.511688054131832e-53,0.27419016446913735,14.263850104984257,5,2.855598987611459e-50
CHML,1.3253649550413823e-24,-0.5967145690053377,-14.248150291172916,5,2.2894192566313223e-23
EMP3,1.3420467724457422e-20,0.7152803902700438,14.214218109454421,4,1.4966912408011171e-19
UFM1,1.580258254918589e-44,-0.32447735376249054,-14.212520808035713,5,2.3486392737210834e-42
GUF1,9.676333186932733e-41,-0.35407386639231103,-14.16801408299596,5,9.94872859377036e-39
MT1F,1.4696466266657194e-15,0.9518447653752963,14.118510735990077,5,9.427720304649194e-15
