SYMBOL,K,K_used,Z,P,Dir,FDR
UBLCP1,5,5,-10.082905276250473,6.575263820350896e-24,down,1.433473265474699e-19
MDGA1,5,4,9.871482914879232,5.534033842334277e-23,up,6.032373589836478e-19
GLMN,5,4,-9.817179304449951,9.496350676104751e-23,down,6.900998036325322e-19
GSTA4,5,4,-9.704231060085055,2.8924901567013513e-22,down,1.5764794476561539e-18
PPP1R2,5,5,-9.567933050665236,1.0906423100392494e-21,down,3.982151831244852e-18
LRP4,5,4,9.567430553351896,1.0959548180115183e-21,up,3.982151831244852e-18
CERS1,5,4,9.501695804979246,2.0649964584854467e-21,up,6.431283970205889e-18
MTCH2,5,4,-9.460585636630922,3.0622327205744583e-21,down,8.34496694265547e-18
GYPC,4,4,9.382246079996008,6.458204485310894e-21,up,1.5643923998251423e-17
ZNF449,5,4,-9.262759790538421,1.992151816630726e-20,down,4.3430901754366455e-17
KANK2,5,5,9.225306749783822,2.827504182572177e-20,up,5.603856244023276e-17
LRRC40,5,4,-9.193571190740567,3.80011086485815e-20,down,6.903851413731045e-17
C5ORF22,5,5,-9.17540688072135,4.498722796089913e-20,down,7.383157528967183e-17
DLD,5,5,-9.169748026000873,4.741259823198044e-20,down,7.383157528967183e-17
GPCPD1,5,4,-9.115656247813957,7.819577616084401e-20,down,1.0891598150814809e-16
SMIM14,5,4,-9.113271214713222,7.993466832394704e-20,down,1.0891598150814809e-16
SIPA1L3,5,4,9.106373547026106,8.518165677505484e-20,up,1.0923795878546887e-16
SKP1,5,5,-9.092977883626997,9.636285727761572e-20,down,1.167114806394056e-16
FAM162A,5,5,-9.076206727160729,1.124247167186141e-19,down,1.2026019585881925e-16
DYNC2LI1,5,5,-9.073356749364422,1.154056822684182e-19,down,1.2026019585881925e-16
NDUFB5,5,5,-9.072946035351043,1.1584166382437524e-19,down,1.2026019585881925e-16
TSNAX,5,5,-9.06667689080001,1.227021157140752e-19,down,1.2159221930375244e-16
DHX36,5,5,-9.013831897510999,1.9897959898442188e-19,down,1.8860670597649482e-16
TTC28,5,4,8.999411177414352,2.2693148707434897e-19,up,2.0613888957116174e-16
RFX1,5,4,8.980067608325573,2.7060043158743726e-19,up,2.359744003615088e-16
SCOC,5,4,-8.957598831617743,3.318252563011535e-19,down,2.782354774085172e-16
PACRGL,5,4,-8.951106546470797,3.5193647711123086e-19,down,2.8416915324081276e-16
GTF2H1,5,4,-8.921221310601178,4.6117400297171605e-19,down,3.5907337281379937e-16
EMP3,4,4,8.88770525158349,6.238390771100615e-19,up,4.689764041405672e-16
ALG14,5,4,-8.881804447809282,6.578440779754882e-19,down,4.780552914647873e-16
NDUFA9,5,5,-8.843253290428683,9.297114693398312e-19,down,6.391380572853546e-16
CCNYL1,5,3,-8.842245120914933,9.381412702688568e-19,down,6.391380572853546e-16
CDK2AP1,5,5,8.835289368713726,9.983948244313848e-19,up,6.595759262857158e-16
RGL2,5,5,8.802877003180361,1.3335268384256138e-18,up,8.550652530740238e-16
SEH1L,5,5,-8.793059725991379,1.4554105326562263e-18,down,8.697055075495393e-16
RPAIN,5,4,-8.791919998128668,1.4702545213439091e-18,down,8.697055075495393e-16
NDUFA5,5,5,-8.791479015902281,1.476037969787301e-18,down,8.697055075495393e-16
CDK2AP2,5,4,8.771883768665711,1.757017217724468e-18,up,1.0080192727266085e-15
ARHGEF10L,5,5,8.756562020359109,2.0129599092852968e-18,up,1.1252445892904808e-15
OPA1,5,5,-8.752560663260356,2.0856534271424715e-18,down,1.1367332591283255e-15
TCEAL7,5,5,-8.741474192269928,2.3008809232360684e-18,down,1.2234513416455983e-15
KLHL21,5,4,8.726632304133494,2.6236837177266673e-18,up,1.361879255479978e-15
MTMR6,4,4,-8.715967623254638,2.8828570066936567e-18,down,1.461608502393684e-15
NT5DC2,5,5,8.696691511329787,3.4170073960819237e-18,up,1.6930495054995914e-15
BRI3,5,5,8.682860349459492,3.85938130196225e-18,up,1.8697415947573113e-15
BCL6,5,4,8.677474830661328,4.0465273124210876e-18,up,1.9177900421324377e-15
RAB11A,5,5,-8.670368697897818,4.307233826687118e-18,down,1.997914992672465e-15
TMEM120A,5,4,8.661052096252384,4.674298431315821e-18,up,2.1230079187732548e-15
MAK16,5,5,-8.657791849349099,4.809908220731695e-18,down,2.140016512656565e-15
TAC1,3,3,-8.645600650555053,5.352299631188288e-18,down,2.3337096851907172e-15
CREBBP,5,5,8.631946868774769,6.0316402695248516e-18,up,2.5783488140374765e-15
PSMD14,5,5,-8.624878939850333,6.416048879362144e-18,down,2.689928492672579e-15
NECAB1,5,5,-8.61289829745133,7.123628582050146e-18,down,2.9302306927787777e-15
SUB1,5,5,-8.58389570432483,9.171312813449027e-18,down,3.702662789740782e-15
FZD9,4,4,8.577742023895865,9.675364630156965e-18,up,3.802858699095864e-15
TRAPPC13,5,5,-8.576641320827402,9.768363247069785e-18,down,3.802858699095864e-15
CHML,5,5,-8.571773740967085,1.0190315171372911e-17,down,3.897527386861418e-15
BCL9L,5,5,8.566812562150284,1.0638885475124704e-17,up,3.998936935227477e-15
OCIAD1,5,5,-8.563751057518639,1.0925359779917003e-17,down,4.037013026474077e-15
RXRA,5,4,8.55901266993519,1.1383820745297786e-17,up,4.136311267803951e-15
TRAPPC6B,5,5,-8.554097739150434,1.1879422253348425e-17,down,4.245627615495886e-15
DNM1L,5,5,-8.54869410797089,1.2448896248080647e-17,down,4.377393340393648e-15
STX12,5,5,-8.539701670620552,1.3456880731841312e-17,down,4.656721537061467e-15
PLAA,5,5,-8.529481724062498,1.47004818506882e-17,down,5.0075813254195854e-15
FEZ2,5,4,-8.520284006923477,1.5916253591779753e-17,down,5.267871783025518e-15
ACTR2,5,5,-8.519636466127357,1.600549158431753e-17,down,5.267871783025518e-15
LETMD1,5,4,-8.517681991968873,1.627784358957257e-17,down,5.267871783025518e-15
NIT2,5,5,-8.516596039478248,1.6431139913111104e-17,down,5.267871783025518e-15
TMX3,5,5,-8.504131882381207,1.8295945989564905e-17,down,5.780723456789921e-15
RAB6A,5,4,-8.499495469126487,1.9041648945455545e-17,down,5.930385552283947e-15
PRELP,5,5,8.497528592291467,1.9366980671015923e-17,up,5.9467541635044805e-15
CHCHD7,5,5,-8.489316980271951,2.0785507435578305e-17,down,6.293678438931148e-15
CDC123,5,5,-8.486122598401964,2.136460473785308e-17,down,6.3172315460340886e-15
ACSL4,5,5,-8.485697661365114,2.1442829888836407e-17,down,6.3172315460340886e-15
PSMA6,5,4,-8.483263929544194,2.1896321360628105e-17,down,6.364822693107378e-15
ZBTB20,5,4,8.476410433235722,2.322483855930895e-17,up,6.590155070456491e-15
PQLC2,2,2,8.476153876286837,2.3276085520166495e-17,up,6.590155070456491e-15
MAF1,5,4,8.469354807424807,2.4675598055525296e-17,up,6.810487575753119e-15
