SYMBOL,K,K_used,Z,P,Dir,FDR
UBLCP1,5,5,-10.415504646825596,2.1067726423484357e-25,down,4.5891828468275975e-21
GSTA4,5,4,-9.940972670058803,2.7611770427097155e-23,down,3.0073359760672867e-19
GLMN,5,4,-9.817179304449951,9.496350676104751e-23,down,5.283893274623843e-19
KANK2,5,5,9.81501055659326,9.70278340838974e-23,up,5.283893274623843e-19
MDGA1,5,4,9.729377588989777,2.2597135475891247e-22,up,9.844668041426781e-19
LRP4,5,4,9.688554982611151,3.37266483737143e-22,up,1.2244459692076977e-18
PPP1R2,5,5,-9.600749796963001,7.936495289281469e-22,down,2.4697239555202607e-18
CERS1,5,4,9.501695804979246,2.0649964584854467e-21,up,5.622727231898561e-18
MTCH2,5,4,-9.460585636630922,3.0622327205744583e-21,down,7.41162392803038e-18
CDK2AP1,5,5,9.39358144367759,5.799399864843231e-21,up,1.17232556919606e-17
LRRC40,5,4,-9.390579672365376,5.967094099692142e-21,down,1.17232556919606e-17
GYPC,4,4,9.382246079996008,6.458204485310894e-21,up,1.17232556919606e-17
NT5DC2,5,5,9.340022142508223,9.631397386359173e-21,up,1.6138517635927834e-17
SEH1L,5,5,-9.272140789351429,1.824466258601668e-20,down,2.8387391793657235e-17
FAM162A,5,5,-9.181400185336516,4.2552190489311286e-20,down,5.435299397549133e-17
C5ORF22,5,5,-9.17540688072135,4.498722796089913e-20,down,5.435299397549133e-17
DLD,5,5,-9.169748026000873,4.741259823198044e-20,down,5.435299397549133e-17
NDUFA9,5,5,-9.167812851880221,4.827131444655615e-20,down,5.435299397549133e-17
SIPA1L3,5,4,9.166315849444015,4.894612614177816e-20,up,5.435299397549133e-17
CDK2AP2,5,4,9.164225463543747,4.990404808840961e-20,up,5.435299397549133e-17
BCL6,5,4,9.155990642748753,5.3861326009093336e-20,up,5.58695840217181e-17
TTC28,5,4,9.122742689418647,7.324672399162996e-20,up,7.252424494134888e-17
SMIM14,5,4,-9.113271214713222,7.993466832394704e-20,down,7.570508174350167e-17
SKP1,5,5,-9.092977883626997,9.636285727761572e-20,down,8.746133833659596e-17
GPCPD1,5,4,-9.074361317594139,1.1434613396491703e-19,down,9.705303704178329e-17
NDUFB5,5,5,-9.072946035351043,1.1584166382437524e-19,down,9.705303704178329e-17
TSNAX,5,5,-9.06667689080001,1.227021157140752e-19,down,9.899334024443336e-17
PACRGL,5,4,-9.048033139769212,1.4556659868601752e-19,down,1.0882810296389608e-16
DYNC2LI1,5,5,-9.043936442349716,1.5112915385573127e-19,down,1.0882810296389608e-16
EMP3,4,4,9.043059546943638,1.5234683379963884e-19,up,1.0882810296389608e-16
RGL2,5,5,9.04125988858404,1.5487633438372946e-19,up,1.0882810296389608e-16
SUB1,5,5,-9.018585287731478,1.905338324673537e-19,down,1.274815471964018e-16
NECAB1,5,5,-9.01583532936173,1.9537574854111647e-19,down,1.274815471964018e-16
DHX36,5,5,-9.013831897510999,1.9897959898442188e-19,down,1.274815471964018e-16
RFX1,5,4,8.980067608325573,2.7060043158743726e-19,up,1.6841397717911846e-16
SCOC,5,4,-8.957598831617743,3.318252563011535e-19,down,2.0078193216688963e-16
DNM1L,5,5,-8.937822442908223,3.9691417196523933e-19,down,2.336751731869948e-16
CREBBP,5,5,8.927850145994404,4.343675012262322e-19,up,2.489954547160794e-16
GTF2H1,5,4,-8.921221310601178,4.6117400297171605e-19,down,2.5758341812135617e-16
RND2,5,4,8.884079816614626,6.445200527085455e-19,up,3.469415261485418e-16
ALG14,5,4,-8.881804447809282,6.578440779754882e-19,down,3.469415261485418e-16
PRELP,5,5,8.879943867157554,6.689411053683495e-19,up,3.469415261485418e-16
PMS2,5,4,-8.863734089315416,7.737818150721476e-19,down,3.9198347157480443e-16
TM2D2,5,5,-8.851837681254635,8.608984772539277e-19,down,4.262034438641433e-16
TCF7L1,4,4,8.807769618484672,1.2766047001743001e-18,up,6.179617818643728e-16
CCDC40,5,4,8.800916643593133,1.3570312150010238e-18,up,6.426132816601587e-16
ZNF449,5,4,-8.793238359430863,1.4530974387490788e-18,down,6.5617418563013835e-16
RPAIN,5,4,-8.791919998128668,1.4702545213439091e-18,down,6.5617418563013835e-16
